"State","Gender","Specialty","Opioid.Prescriber","NumGender","NumState","NumSpeciality","StateNumber","State.Name","Population","Deaths"
"AK","F","General",0,1,1,4,"2","Alaska",735132,124
"AK","F","General",1,1,1,4,"2","Alaska",735132,124
"AK","M","Surgeon",1,2,1,1,"2","Alaska",735132,124
"AK","F","General",0,1,1,4,"2","Alaska",735132,124
"AK","F","General",1,1,1,4,"2","Alaska",735132,124
"AK","F","General",1,1,1,4,"2","Alaska",735132,124
"AK","F","General",0,1,1,4,"2","Alaska",735132,124
"AK","F","General",1,1,1,4,"2","Alaska",735132,124
"AK","M","General",1,2,1,4,"2","Alaska",735132,124
"AK","F","other",0,1,1,2,"2","Alaska",735132,124
"AK","M","General",1,2,1,4,"2","Alaska",735132,124
"AK","M","General",0,2,1,4,"2","Alaska",735132,124
"AK","F","other",0,1,1,2,"2","Alaska",735132,124
"AK","M","General",0,2,1,4,"2","Alaska",735132,124
"AK","M","General",0,2,1,4,"2","Alaska",735132,124
"AK","F","General",1,1,1,4,"2","Alaska",735132,124
"AK","M","General",1,2,1,4,"2","Alaska",735132,124
"AK","F","General",0,1,1,4,"2","Alaska",735132,124
"AK","M","General",1,2,1,4,"2","Alaska",735132,124
"AK","M","other",0,2,1,2,"2","Alaska",735132,124
"AK","M","other",1,2,1,2,"2","Alaska",735132,124
"AK","M","General",1,2,1,4,"2","Alaska",735132,124
"AK","M","General",1,2,1,4,"2","Alaska",735132,124
"AK","F","General",0,1,1,4,"2","Alaska",735132,124
"AK","F","Surgeon",1,1,1,1,"2","Alaska",735132,124
"AK","M","General",1,2,1,4,"2","Alaska",735132,124
"AK","F","General",0,1,1,4,"2","Alaska",735132,124
"AK","M","General",1,2,1,4,"2","Alaska",735132,124
"AK","M","other",1,2,1,2,"2","Alaska",735132,124
"AK","M","Surgeon",1,2,1,1,"2","Alaska",735132,124
"AK","M","General",1,2,1,4,"2","Alaska",735132,124
"AK","F","General",1,1,1,4,"2","Alaska",735132,124
"AK","M","Surgeon",1,2,1,1,"2","Alaska",735132,124
"AK","M","other",1,2,1,2,"2","Alaska",735132,124
"AK","M","other",1,2,1,2,"2","Alaska",735132,124
"AK","M","Surgeon",1,2,1,1,"2","Alaska",735132,124
"AK","F","General",1,1,1,4,"2","Alaska",735132,124
"AK","M","General",1,2,1,4,"2","Alaska",735132,124
"AK","M","General",1,2,1,4,"2","Alaska",735132,124
"AL","F","other",0,1,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","F","General",1,1,2,4,"1","Alabama",4833722,723
"AL","F","other",0,1,2,2,"1","Alabama",4833722,723
"AL","M","other",0,2,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","F","other",1,1,2,2,"1","Alabama",4833722,723
"AL","F","General",1,1,2,4,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","General",1,2,2,4,"1","Alabama",4833722,723
"AL","M","General",1,2,2,4,"1","Alabama",4833722,723
"AL","F","other",0,1,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","F","General",1,1,2,4,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","Surgeon",1,2,2,1,"1","Alabama",4833722,723
"AL","F","General",1,1,2,4,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","F","other",0,1,2,2,"1","Alabama",4833722,723
"AL","M","General",1,2,2,4,"1","Alabama",4833722,723
"AL","M","General",1,2,2,4,"1","Alabama",4833722,723
"AL","M","other",0,2,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","Surgeon",1,2,2,1,"1","Alabama",4833722,723
"AL","F","General",0,1,2,4,"1","Alabama",4833722,723
"AL","F","General",1,1,2,4,"1","Alabama",4833722,723
"AL","F","General",1,1,2,4,"1","Alabama",4833722,723
"AL","M","other",0,2,2,2,"1","Alabama",4833722,723
"AL","F","other",1,1,2,2,"1","Alabama",4833722,723
"AL","F","other",0,1,2,2,"1","Alabama",4833722,723
"AL","F","General",1,1,2,4,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","General",1,2,2,4,"1","Alabama",4833722,723
"AL","M","other",0,2,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","other",0,2,2,2,"1","Alabama",4833722,723
"AL","M","Surgeon",1,2,2,1,"1","Alabama",4833722,723
"AL","M","General",1,2,2,4,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","other",0,2,2,2,"1","Alabama",4833722,723
"AL","M","General",1,2,2,4,"1","Alabama",4833722,723
"AL","F","General",1,1,2,4,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","other",0,2,2,2,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","Surgeon",1,2,2,1,"1","Alabama",4833722,723
"AL","M","other",1,2,2,2,"1","Alabama",4833722,723
"AL","M","other",0,2,2,2,"1","Alabama",4833722,723
"AL","F","General",0,1,2,4,"1","Alabama",4833722,723
"AL","M","General",1,2,2,4,"1","Alabama",4833722,723
"AL","M","other",0,2,2,2,"1","Alabama",4833722,723
"AL","F","General",0,1,2,4,"1","Alabama",4833722,723
