"","State","Population","Deaths","Abbrev"
"1","Alabama",4833722,723,"AL"
"2","Alaska",735132,124,"AK"
"3","Arizona",6626624,1211,"AZ"
"4","Arkansas",2959373,356,"AR"
"5","California",38332521,4521,"CA"
"6","Colorado",5268367,899,"CO"
"7","Connecticut",3596080,623,"CT"
"8","Delaware",925749,189,"DE"
"9","Florida",19552860,2634,"FL"
"10","Georgia",9992167,1206,"GA"
"11","Hawaii",1404054,157,"HI"
"12","Idaho",1612136,212,"ID"
"13","Illinois",12882135,1705,"IL"
"14","Indiana",6570902,1172,"IN"
"15","Iowa",3090416,264,"IA"
"16","Kansas",2893957,332,"KS"
"17","Kentucky",4395295,1077,"KY"
"18","Louisiana",4625470,777,"LA"
"19","Maine",1328302,216,"ME"
"20","Maryland",5928814,1070,"MD"
"21","Massachusetts",6692824,1289,"MA"
"22","Michigan",9895622,1762,"MI"
"23","Minnesota",5420380,517,"MN"
"24","Mississippi",2991207,336,"MS"
"25","Missouri",6044171,1067,"MO"
"26","Montana",1015165,125,"MT"
"27","Nebraska",1868516,125,"NE"
"28","Nevada",2790136,545,"NV"
"29","New Hampshire",1323459,334,"NH"
"30","New Jersey",8899339,1253,"NJ"
"31","New Mexico",2085287,547,"NM"
"32","New York",19651127,2300,"NY"
"33","North Carolina",9848060,1358,"NC"
"34","North Dakota",723393,43,"ND"
"35","Ohio",11570808,2744,"OH"
"36","Oklahoma",3850568,777,"OK"
"37","Oregon",3930065,522,"OR"
"38","Pennsylvania",12773801,2732,"PA"
"39","Rhode Island",1051511,247,"RI"
"40","South Carolina",4774839,701,"SC"
"41","South Dakota",844877,63,"SD"
"42","Tennessee",6495978,1269,"TN"
"43","Texas",26448193,2601,"TX"
"44","Utah",2900872,603,"UT"
"45","Vermont",626630,83,"VT"
"46","Virginia",8260405,980,"VA"
"47","Washington",6971406,979,"WA"
"48","West Virginia",1854304,627,"WV"
"49","Wisconsin",5742713,853,"WI"
"50","Wyoming",582658,109,"WY"
