"State","Credentials","Specialty","Opioid.Prescriber"
"TX","DDS","Dentist",1
"AL","MD","General Surgery",1
"NY","M.D.","General Practice",0
"AZ","MD","Internal Medicine",1
"NV","M.D.","Hematology/Oncology",1
"PA","DO","General Surgery",1
"NH","MD","Family Practice",1
"PA","RN, MSN, ANP-BC","Nurse Practitioner",0
"TX","O.D.","Optometry",0
"WI","MD","Internal Medicine",1
"PR","M.D.","General Practice",1
"TX","MD","General Surgery",1
"CO","MD","Family Practice",1
"OH","MD","Cardiology",0
"TX","MD","Hematology/Oncology",1
"OH","M.D.","General Surgery",1
"MA","M.D.","Internal Medicine",0
"CT","","Hematology/Oncology",0
"FL","M.D.","General Surgery",1
"MN","D.D.S.","Dentist",1
"UT","M.D.","Obstetrics/Gynecology",1
"AL","M.D.","Family Practice",1
"IA","ACNP","Nurse Practitioner",0
"IL","DPM","Podiatry",1
"CT","PAC","Physician Assistant",0
"FL","A.R.N.P.","Nurse Practitioner",0
"NY","M.D.","Diagnostic Radiology",0
"NY","MD","Student in an Organized Health Care Education/Training Program",1
"FL","MD","Internal Medicine",1
"CO","DDS","Dentist",0
"MT","MD","Internal Medicine",1
"IN","MSN, APRN, BC","Nurse Practitioner",1
"FL","","Neurology",0
"VA","MD","General Surgery",1
"FL","D.O.","Neurology",1
"CA","M.D,","Internal Medicine",0
"NV","APRN","Nurse Practitioner",0
"IN","M.D.","General Surgery",1
"OR","PA-C","Physician Assistant",1
"NE","M.D.","Family Practice",1
"MI","CNM","Certified Nurse Midwife",0
"NM","RN CNP","Nurse Practitioner",0
"PA","PA-C","Physician Assistant",0
"CA","DDS MS","Dentist",0
"TN","DNP, APRN-BC, FNP","Nurse Practitioner",1
"NY","DDS","Dentist",0
"IL","M.D.","Rheumatology",1
"CT","DDS","Dentist",1
"CA","PHARM D.","Pharmacist",0
"KS","O.D.","Optometry",0
"PA","CRNP","Nurse Practitioner",1
"LA","M.D.","Obstetrics/Gynecology",0
"MD","M.D.","Cardiology",0
"TX","MD","Urology",1
"IL","MD","Cardiac Electrophysiology",0
"CT","PAC","Physician Assistant",1
"MI","M.D.","Family Practice",1
"PR","D.M.D.","Dentist",0
"MO","M.D.","Internal Medicine",0
"IA","M.D.","Family Practice",1
"PA","M.D.","Dermatology",0
"NH","ARNP","Nurse Practitioner",1
"AR","D.O.","Family Practice",1
"IN","O.D.","Optometry",0
"CA","M.D.","Internal Medicine",1
"WI","D.D.S.","Dentist",0
"TN","D.D.S","Dentist",0
"TX","DPM MD","Podiatry",1
"NE","MD","Emergency Medicine",1
"NC","FNP","Nurse Practitioner",1
"IA","PA-C","Physician Assistant",1
"CA","MD","Internal Medicine",1
"TX","MD","Psychiatry & Neurology",0
"MN","MD","Infectious Disease",0
"OH","MD","Psychiatry",1
"NJ","PA-C","Physician Assistant",1
"MI","MD","Student in an Organized Health Care Education/Training Program",1
"AL","MD","Gastroenterology",0
"IL","DPM","Podiatry",0
"IL","MD","Ophthalmology",0
"NY","MD","Cardiology",1
"AZ","D.D.S.","Dentist",1
"TN","NP","Nurse Practitioner",1
"NY","MD","Thoracic Surgery",1
"AL","M.D.","Family Practice",1
