"","NPI","Gender","State","Credentials","Specialty","Opioid.Prescriber"
"1",1710982582,"M","TX","DDS","Dentist",1
"2",1245278100,"F","AL","MD","General Surgery",1
"3",1427182161,"F","NY","M.D.","General Practice",0
"4",1669567541,"M","AZ","MD","Internal Medicine",1
"5",1679650949,"M","NV","M.D.","Hematology/Oncology",1
"6",1548580897,"M","PA","DO","General Surgery",1
"7",1437192002,"M","NH","MD","Family Practice",1
"8",1407113988,"F","PA","RN, MSN, ANP-BC","Nurse Practitioner",0
"9",1023260569,"M","TX","O.D.","Optometry",0
"10",1821106832,"F","WI","MD","Internal Medicine",1
"11",1609931914,"F","PR","M.D.","General Practice",1
"12",1659334472,"M","TX","MD","General Surgery",1
"13",1144205303,"M","CO","MD","Family Practice",1
"14",1548275050,"M","OH","MD","Cardiology",0
"15",1952598419,"F","TX","MD","Hematology/Oncology",1
"16",1780661793,"M","OH","M.D.","General Surgery",1
"17",1356388011,"F","MA","M.D.","Internal Medicine",0
"18",1588788921,"M","CT","","Hematology/Oncology",0
"19",1548238389,"M","FL","M.D.","General Surgery",1
"20",1366582587,"M","MN","D.D.S.","Dentist",1
"21",1083907059,"M","UT","M.D.","Obstetrics/Gynecology",1
"22",1598748931,"F","AL","M.D.","Family Practice",1
"23",1609121748,"F","IA","ACNP","Nurse Practitioner",0
"24",1063566727,"F","IL","DPM","Podiatry",1
"25",1487630919,"M","CT","PAC","Physician Assistant",0
"26",1194795351,"F","FL","A.R.N.P.","Nurse Practitioner",0
"27",1669671194,"M","NY","M.D.","Diagnostic Radiology",0
"28",1629394754,"M","NY","MD","Student in an Organized Health Care Education/Training Program",1
"29",1174555080,"F","FL","MD","Internal Medicine",1
"30",1508170895,"F","CO","DDS","Dentist",0
"31",1871548537,"F","MT","MD","Internal Medicine",1
"32",1841349677,"F","IN","MSN, APRN, BC","Nurse Practitioner",1
"33",1801816095,"M","FL","","Neurology",0
"34",1629038443,"M","VA","MD","General Surgery",1
"35",1386607315,"F","FL","D.O.","Neurology",1
"36",1811005366,"M","CA","M.D,","Internal Medicine",0
"37",1902018518,"F","NV","APRN","Nurse Practitioner",0
"38",1295852101,"M","IN","M.D.","General Surgery",1
"39",1467448381,"F","OR","PA-C","Physician Assistant",1
"40",1285675637,"M","NE","M.D.","Family Practice",1
"41",1669400792,"F","MI","CNM","Certified Nurse Midwife",0
"42",1598863342,"F","NM","RN CNP","Nurse Practitioner",0
"43",1891112496,"M","PA","PA-C","Physician Assistant",0
"44",1235270554,"M","CA","DDS MS","Dentist",0
"45",1679630891,"F","TN","DNP, APRN-BC, FNP","Nurse Practitioner",1
"46",1235132788,"M","NY","DDS","Dentist",0
"47",1346496197,"F","IL","M.D.","Rheumatology",1
"48",1922136613,"M","CT","DDS","Dentist",1
"49",1316085228,"F","CA","PHARM D.","Pharmacist",0
"50",1295742583,"M","KS","O.D.","Optometry",0
"51",1235426800,"F","PA","CRNP","Nurse Practitioner",1
"52",1902866106,"F","LA","M.D.","Obstetrics/Gynecology",0
"53",1952353724,"M","MD","M.D.","Cardiology",0
"54",1043399322,"M","TX","MD","Urology",1
"55",1255471140,"M","IL","MD","Cardiac Electrophysiology",0
"56",1619975919,"F","CT","PAC","Physician Assistant",1
"57",1023062759,"M","MI","M.D.","Family Practice",1
"58",1376865949,"F","PR","D.M.D.","Dentist",0
"59",1609867399,"M","MO","M.D.","Internal Medicine",0
"60",1225079817,"F","IA","M.D.","Family Practice",1
"61",1093777229,"F","PA","M.D.","Dermatology",0
"62",1134260607,"F","NH","ARNP","Nurse Practitioner",1
"63",1164544045,"M","AR","D.O.","Family Practice",1
"64",1538141569,"F","IN","O.D.","Optometry",0
"65",1902916729,"M","CA","M.D.","Internal Medicine",1
"66",1679647747,"M","WI","D.D.S.","Dentist",0
"67",1154304293,"F","TN","D.D.S","Dentist",0
"68",1659395069,"M","TX","DPM MD","Podiatry",1
"69",1114977758,"M","NE","MD","Emergency Medicine",1
"70",1912339961,"F","NC","FNP","Nurse Practitioner",1
"71",1699933614,"F","IA","PA-C","Physician Assistant",1
"72",1174601066,"M","CA","MD","Internal Medicine",1
"73",1003893140,"M","TX","MD","Psychiatry & Neurology",0
"74",1104843101,"F","MN","MD","Infectious Disease",0
"75",1912114752,"M","OH","MD","Psychiatry",1
"76",1326073214,"M","NJ","PA-C","Physician Assistant",1
"77",1063772572,"F","MI","MD","Student in an Organized Health Care Education/Training Program",1
"78",1144285164,"M","AL","MD","Gastroenterology",0
"79",1255327441,"M","IL","DPM","Podiatry",0
"80",1316921752,"M","IL","MD","Ophthalmology",0
"81",1194739243,"M","NY","MD","Cardiology",1
"82",1609831783,"F","AZ","D.D.S.","Dentist",1
"83",1871682567,"F","TN","NP","Nurse Practitioner",1
"84",1124108774,"M","NY","MD","Thoracic Surgery",1
"85",1386964930,"F","AL","M.D.","Family Practice",1
"86",1346403839,"M","NY","M.D.","Internal Medicine",0
"87",1184760480,"M","FL","DMD","Oral Surgery (dentists only)",1
"88",1457380826,"F","NY","PA","Physician Assistant",1
"89",1730245325,"M","NY","MD","Psychiatry & Neurology",0
"90",1013935303,"M","PA","MD","Internal Medicine",1
"91",1629152525,"M","TN","D.D.S.","Dentist",1
"92",1265477343,"M","TX","DO","Emergency Medicine",1
"93",1629099304,"M","SC","MD","Anesthesiology",1
"94",1205126695,"F","NC","","Internal Medicine",0
"95",1982602868,"M","CT","M.D.","Orthopedic Surgery",1
"96",1578724068,"M","MO","D.O.","Internal Medicine",0
"97",1144296245,"M","WY","M.D.","Family Practice",1
"98",1508982414,"F","VA","M.D.","Internal Medicine",1
"99",1316176233,"M","OH","MD","Urology",1
"100",1285792762,"M","CA","M.D.","General Practice",1
"101",1386962785,"M","NJ","D.O.","Anesthesiology",1
"102",1457391989,"M","ME","M.D.","Psychiatry & Neurology",0
"103",1548413172,"M","LA","MD","Internal Medicine",0
"104",1932193117,"M","NJ","M.D.","Otolaryngology",0
"105",1487933404,"F","NY","PA","Physician Assistant",0
"106",1063590743,"M","CA","MD","Internal Medicine",1
"107",1699740613,"M","OH","M.D.","Neurology",1
"108",1093901357,"M","OH","M.D.","Internal Medicine",1
"109",1588612477,"F","CA","","Emergency Medicine",1
"110",1881825461,"M","FL","D.O.","Emergency Medicine",1
"111",1528075702,"M","AZ","MD","Ophthalmology",0
"112",1467427427,"F","MN","MD","Family Practice",1
"113",1437233327,"M","NC","M.D.","Cardiology",0
"114",1053405951,"F","OK","M.D.","Anesthesiology",1
"115",1528037371,"M","ME","MD","Internal Medicine",0
"116",1366495459,"F","UT","MD","Family Practice",1
"117",1720393101,"F","CA","","Nurse Practitioner",0
"118",1720089469,"M","CA","M.D.","Pulmonary Disease",0
"119",1467627729,"M","FL","","Emergency Medicine",1
"120",1154471449,"M","TX","M.D.","Neuropsychiatry",0
"121",1811335664,"F","PA","MD","Student in an Organized Health Care Education/Training Program",0
"122",1184619157,"M","FL","MD","Cardiology",0
"123",1689765588,"F","KS","MPT","Physical Therapist",0
"124",1053492868,"M","IN","M.D.","Family Practice",1
"125",1609989268,"M","ND","M.D.","Emergency Medicine",1
"126",1881784809,"F","NY","MD","Family Practice",1
"127",1790753143,"F","KY","ARNP","Nurse Practitioner",0
"128",1588704753,"M","MI","D.D.S.","Dentist",0
"129",1366415093,"M","PR","DMD","Dentist",0
"130",1750509907,"M","ME","D.M.D.","Dentist",0
"131",1356448336,"M","CA","MD","Internal Medicine",1
"132",1851463541,"M","GA","D.M.D.","Dentist",0
"133",1336181536,"F","GA","APRN BC FNP","Nurse Practitioner",0
"134",1497035588,"M","NY","MD","Student in an Organized Health Care Education/Training Program",0
"135",1700045713,"M","WI","MD","Dermatology",0
"136",1598779209,"M","AR","M.D.","Ophthalmology",1
"137",1629141379,"M","CT","MD","Psychiatry & Neurology",0
"138",1952497273,"M","NY","","Psychiatry",0
"139",1437209079,"F","NY","MD","Psychiatry & Neurology",0
"140",1619986395,"M","NJ","DMD,FAGD","Dentist",0
"141",1235124835,"M","CA","MD","Ophthalmology",1
"142",1881699270,"M","TX","MD","Otolaryngology",1
"143",1588724504,"M","TX","MD","General Surgery",1
"144",1497708556,"M","IL","MD","Internal Medicine",1
"145",1154553097,"F","FL","O.D.","Optometry",0
"146",1962510818,"F","SC","MD","Pediatric Medicine",0
"147",1902989668,"M","CA","M.D.","Gastroenterology",1
"148",1760614101,"M","MI","PA-C","Physician Assistant",0
"149",1396955589,"F","NC","M.D.","Otolaryngology",0
