,State,Gender,Specialty,OpioidP,NumGender,NumState,NumSpeciality,StateNumber,StateName,Population,Deaths
1,AK,F,General,0,1,1,4,2,Alaska,735132,124
2,AK,F,General,1,1,1,4,2,Alaska,735132,124
3,AK,M,Surgeon,1,2,1,1,2,Alaska,735132,124
4,AK,F,General,0,1,1,4,2,Alaska,735132,124
5,AK,F,General,1,1,1,4,2,Alaska,735132,124
6,AK,F,General,1,1,1,4,2,Alaska,735132,124
7,AK,F,General,0,1,1,4,2,Alaska,735132,124
8,AK,F,General,1,1,1,4,2,Alaska,735132,124
9,AK,M,General,1,2,1,4,2,Alaska,735132,124
10,AK,F,other,0,1,1,2,2,Alaska,735132,124
11,AK,M,General,1,2,1,4,2,Alaska,735132,124
12,AK,M,General,0,2,1,4,2,Alaska,735132,124
13,AK,F,other,0,1,1,2,2,Alaska,735132,124
14,AK,M,General,0,2,1,4,2,Alaska,735132,124
15,AK,M,General,0,2,1,4,2,Alaska,735132,124
16,AK,F,General,1,1,1,4,2,Alaska,735132,124
17,AK,M,General,1,2,1,4,2,Alaska,735132,124
18,AK,F,General,0,1,1,4,2,Alaska,735132,124
19,AK,M,General,1,2,1,4,2,Alaska,735132,124
20,AK,M,other,0,2,1,2,2,Alaska,735132,124
21,AK,M,other,1,2,1,2,2,Alaska,735132,124
22,AK,M,General,1,2,1,4,2,Alaska,735132,124
23,AK,M,General,1,2,1,4,2,Alaska,735132,124
24,AK,F,General,0,1,1,4,2,Alaska,735132,124
25,AK,F,Surgeon,1,1,1,1,2,Alaska,735132,124
26,AK,M,General,1,2,1,4,2,Alaska,735132,124
27,AK,F,General,0,1,1,4,2,Alaska,735132,124
28,AK,M,General,1,2,1,4,2,Alaska,735132,124
29,AK,M,other,1,2,1,2,2,Alaska,735132,124
30,AK,M,Surgeon,1,2,1,1,2,Alaska,735132,124
31,AK,M,General,1,2,1,4,2,Alaska,735132,124
32,AK,F,General,1,1,1,4,2,Alaska,735132,124
33,AK,M,Surgeon,1,2,1,1,2,Alaska,735132,124
34,AK,M,other,1,2,1,2,2,Alaska,735132,124
35,AK,M,other,1,2,1,2,2,Alaska,735132,124
36,AK,M,Surgeon,1,2,1,1,2,Alaska,735132,124
37,AK,F,General,1,1,1,4,2,Alaska,735132,124
38,AK,M,General,1,2,1,4,2,Alaska,735132,124
39,AK,M,General,1,2,1,4,2,Alaska,735132,124
40,AL,F,other,0,1,2,2,1,Alabama,4833722,723
41,AL,M,other,1,2,2,2,1,Alabama,4833722,723
42,AL,F,General,1,1,2,4,1,Alabama,4833722,723
43,AL,F,other,0,1,2,2,1,Alabama,4833722,723
44,AL,M,other,0,2,2,2,1,Alabama,4833722,723
45,AL,M,other,1,2,2,2,1,Alabama,4833722,723
46,AL,M,other,1,2,2,2,1,Alabama,4833722,723
47,AL,F,other,1,1,2,2,1,Alabama,4833722,723
48,AL,F,General,1,1,2,4,1,Alabama,4833722,723
49,AL,M,other,1,2,2,2,1,Alabama,4833722,723
50,AL,M,General,1,2,2,4,1,Alabama,4833722,723
51,AL,M,General,1,2,2,4,1,Alabama,4833722,723
52,AL,F,other,0,1,2,2,1,Alabama,4833722,723
53,AL,M,other,1,2,2,2,1,Alabama,4833722,723
54,AL,M,other,1,2,2,2,1,Alabama,4833722,723
55,AL,F,General,1,1,2,4,1,Alabama,4833722,723
56,AL,M,other,1,2,2,2,1,Alabama,4833722,723
57,AL,M,other,1,2,2,2,1,Alabama,4833722,723
58,AL,M,other,1,2,2,2,1,Alabama,4833722,723
59,AL,M,Surgeon,1,2,2,1,1,Alabama,4833722,723
60,AL,F,General,1,1,2,4,1,Alabama,4833722,723
61,AL,M,other,1,2,2,2,1,Alabama,4833722,723
62,AL,M,other,1,2,2,2,1,Alabama,4833722,723
63,AL,F,other,0,1,2,2,1,Alabama,4833722,723
64,AL,M,General,1,2,2,4,1,Alabama,4833722,723
65,AL,M,General,1,2,2,4,1,Alabama,4833722,723
